problem,law,section,solution,solution_based_on_law,risk_category,applicable_conditions,expected_answer
"I received a message from someone pretending to be a bank official, and after following their instructions, Rs. 2,300 was deducted from my account. This has been really stressful for me and my family.","Information Technology Act, 2000 and Applicable law cannot be determined from the facts provided",Section 66D; Not applicable until further facts are known,"Contact your bank immediately to block further transactions and request a chargeback where possible, preserve the messages/call records and transaction details, and file a complaint on the National Cyber Crime Reporting Portal or the 1930 helpline.","Cheating a person by pretending to be someone else (such as a bank official) using electronic communication in order to induce them to part with money is an offence, and the exact provisions applicable also depend on how the deception and transaction occurred.",Cybercrime,"The exact offence and applicable sections depend on details such as how the OTP or information was obtained, the payment method used, and whether any malware or phishing link was involved, so these facts are needed for a precise answer.","This likely involves the Information Technology Act, 2000 (Section 66D), since you were deceived through electronic communication into losing money. Contact your bank immediately, note down the caller's number and messages, and report the incident at cybercrime.gov.in or call 1930. The exact combination of sections will depend on further facts about how the fraud was carried out."
My car was damaged by an uninsured vehicle and I don't know what my options are. I don't want to go to court if it can be avoided.,"Motor Vehicles Act, 1988",Section 146 and Section 196,"File a claim before the Motor Accident Claims Tribunal; where the offending vehicle is uninsured, compensation can still be pursued against the vehicle owner directly, or in some cases through the Insurance Council's uninsured vehicles fund.","Driving a motor vehicle without a valid insurance policy covering third-party risk is itself an offence, and separately, a victim's right to claim compensation for the accident is not extinguished merely because the offending vehicle lacked insurance.",Traffic,"Proof that the vehicle was uninsured, the accident details, and the extent of damage or injury are needed.","This involves Motor Vehicles Act, 1988 (Section 146 and Section 196). Even if the other vehicle was uninsured, you can still file a claim before the Motor Accident Claims Tribunal against the vehicle owner. A lawyer can advise on pursuing the uninsured vehicles compensation route as well."
"A person promised to invest my Rs. 4,500 in a scheme and give high returns, but disappeared with the money. I'm not sure what steps to take next.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"A 16-year-old in my family signed an agreement to work for a shopkeeper for Rs. 850, and now the shopkeeper is trying to enforce it. I want to know my rights in this situation.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
"Someone accessed my email account without my permission and changed the password, locking me out. My family is asking me to just let it go, but I don't want to.","Information Technology Act, 2000",Section 43 read with Section 66,"Change your recovery credentials wherever still possible, use the platform's account recovery process, preserve any notification emails or logs, and file a complaint with the Cyber Cell.","Accessing a computer, computer system, or computer network without the permission of its owner, and causing damage such as deleting data or locking out the rightful user, is penalised as unauthorised access.",Cybercrime,"Login history, notification emails, timestamps, and any available logs help establish that access was unauthorised and identify when it occurred.","This falls under the Information Technology Act, 2000 (Section 43 read with Section 66), covering unauthorised access to a computer resource. Use the platform's account recovery options, preserve any evidence such as login alerts, and file a complaint with your local Cyber Cell or on cybercrime.gov.in."
"Someone owes me Rs. 12,000 and is refusing to pay it back, what can I do? I'm not sure what steps to take next.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I booked a salon treatment for Rs. 3,200, but it was never completed properly and the company is not responding to my complaints. This happened for the first time recently.","Consumer Protection Act, 2019",Section 2(11) read with Section 35; Section 2(6) and Section 35,"Send a written notice to the service provider describing the deficiency and asking for rectification, refund, or compensation, and if unresolved, file a complaint before the Consumer Commission.","A shortfall in the quality or manner of performance of a paid service falls within the Act's concept of deficiency, and a consumer who suffers such deficiency can seek redressal through the consumer complaint mechanism.",Consumer,"You must have paid for the service (not received it free), the shortfall in performance must be demonstrable, and supporting documents such as invoices, messages, or photographs strengthen the complaint.","This falls under the Consumer Protection Act, 2019 (Section 2(11) read with Section 35), which covers deficiency in service. You can send a written notice demanding rectification or refund, and escalate to the Consumer Commission if the provider does not respond. Retain your payment proof and all communication as evidence."
"My landlord in Chennai is refusing to return my Rs. 5,20,000 security deposit even though I vacated the flat three months back in proper condition. I want to know my rights in this situation.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Review the rental agreement for the deposit clause, send a written request asking for an itemised explanation of any deductions, and if unresolved, pursue the matter before the Rent Authority or Consumer/Civil Court as applicable under the relevant state tenancy law.","The obligation to return a security deposit, and the conditions under which deductions are permitted, depend primarily on the terms of the rental agreement and the tenancy law applicable in the specific state, since India does not have a single uniform central law governing all rental security deposits.",Property,"The rental agreement terms, the state in which the property is located (since tenancy law is largely state-specific, e.g. Model Tenancy Act adoption varies by state), the condition of the property at vacation, and the landlord's stated reasons for deduction are all needed.","The exact law depends on your state's tenancy regulations and the terms of your rental agreement, so this needs more information before a specific section can be cited. In the meantime, send the landlord a written request for an itemised list of deductions, and keep photos/videos from move-out as evidence. Please share your state and the agreement terms so the applicable law can be identified."
"A vehicle hit me and sped away without stopping in Pune, and I don't know who was driving. I'm not sure what steps to take next.","Motor Vehicles Act, 1988",Section 161,"File a police complaint immediately (needed to access the hit-and-run compensation scheme), obtain medical records, and apply for compensation from the Solatium Fund/relevant scheme through the police or insurer.","Where the vehicle or driver responsible for an accident cannot be traced, a victim or their legal heirs can still claim compensation from a dedicated compensation fund, subject to filing the required police report and documents.",Traffic,"A prompt FIR, medical treatment records, and any witness information about the vehicle are needed to process the claim.","This falls under Motor Vehicles Act, 1988 (Section 161), which provides for compensation even when the vehicle cannot be traced. File a police complaint immediately, get medical treatment documented, and apply for compensation from the applicable compensation fund with police assistance."
"A vendor promised to supply materials for Rs. 9,999 by a fixed date, but has neither delivered nor refunded the money. I have all the receipts and messages saved.","Indian Contract Act, 1872",Section 37; Section 73,"Issue a written demand for performance of the contract or, alternatively, refund with compensation, and pursue legal remedies if the vendor continues to default.","Parties to a contract are bound to perform their respective promises, and where a party fails to do so, the aggrieved party may seek performance or compensation for the resulting loss.",Contract,"A valid contract must exist between the parties, payment or consideration must have been given, and non-performance must be established.","Under the Indian Contract Act, 1872 (Section 37) and Indian Contract Act, 1872 (Section 73), parties are obligated to perform their contractual promises. You can send a written demand for delivery or refund with compensation, and pursue a civil suit if the vendor continues to default. Keep the order confirmation and payment records."
"I paid a co-worker Rs. 33,500 in advance for travel package booking, but the work was left incomplete and they stopped responding.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
An e-commerce seller cancelled my order for a washing machine after taking payment and is not processing the refund even after a few days ago.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
"I hired someone for pest control service and paid Rs. 4,500 upfront, but they never showed up to finish the job. I have all the receipts and messages saved.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"My landlord in Raipur is refusing to return my Rs. 15,000 security deposit even though I vacated the flat yesterday in proper condition. This has been really stressful for me and my family.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Review the rental agreement for the deposit clause, send a written request asking for an itemised explanation of any deductions, and if unresolved, pursue the matter before the Rent Authority or Consumer/Civil Court as applicable under the relevant state tenancy law.","The obligation to return a security deposit, and the conditions under which deductions are permitted, depend primarily on the terms of the rental agreement and the tenancy law applicable in the specific state, since India does not have a single uniform central law governing all rental security deposits.",Property,"The rental agreement terms, the state in which the property is located (since tenancy law is largely state-specific, e.g. Model Tenancy Act adoption varies by state), the condition of the property at vacation, and the landlord's stated reasons for deduction are all needed.","The exact law depends on your state's tenancy regulations and the terms of your rental agreement, so this needs more information before a specific section can be cited. In the meantime, send the landlord a written request for an itemised list of deductions, and keep photos/videos from move-out as evidence. Please share your state and the agreement terms so the applicable law can be identified."
"A person promised to invest my Rs. 12,000 in a scheme and give high returns, but disappeared with the money. I'm not sure what steps to take next.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"A 16-year-old in my family signed an agreement to work for a shopkeeper for Rs. 18,900, and now the shopkeeper is trying to enforce it. I already tried contacting them but got no response.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
"I paid Rs. 12,000 for a television and it has a manufacturing fault, but the store manager says 'no refund after purchase'. I've never dealt with anything like this before.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
My co-worker has been threatening to harm me if I do not comply with their demands. I have all the receipts and messages saved.,"Bharatiya Nyaya Sanhita, 2023",Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text),"File a police complaint or FIR describing the threats, and preserve any messages, recordings, or witnesses as evidence; a protection order may also be sought where relevant.","Threatening a person with injury to their person, reputation, or property, with intent to cause alarm or to compel them to act against their will, constitutes criminal intimidation.",Criminal,"The exact wording of the threat, its context, and whether it was intended to cause alarm or compel a specific act are needed, and the precise clause should be confirmed against the Act text.","This may amount to criminal intimidation under Bharatiya Nyaya Sanhita, 2023 (Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text)). File a police complaint describing the threats and preserve any messages, call recordings, or witness statements. If the threats come from a family member, you may also explore remedies under domestic violence law depending on the relationship."
"Someone owes me Rs. 18,900 and is refusing to pay it back, what can I do? I'm not sure what steps to take next.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
A shop in Bhopal charged me more than the printed MRP for a power bank and refused to give a proper bill. I have all the receipts and messages saved.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
My husband has been threatening to harm me if I do not comply with their demands. I've never dealt with anything like this before.,"Bharatiya Nyaya Sanhita, 2023",Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text),"File a police complaint or FIR describing the threats, and preserve any messages, recordings, or witnesses as evidence; a protection order may also be sought where relevant.","Threatening a person with injury to their person, reputation, or property, with intent to cause alarm or to compel them to act against their will, constitutes criminal intimidation.",Criminal,"The exact wording of the threat, its context, and whether it was intended to cause alarm or compel a specific act are needed, and the precise clause should be confirmed against the Act text.","This may amount to criminal intimidation under Bharatiya Nyaya Sanhita, 2023 (Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text)). File a police complaint describing the threats and preserve any messages, call recordings, or witness statements. If the threats come from a family member, you may also explore remedies under domestic violence law depending on the relationship."
"My landlord in Guwahati is refusing to return my Rs. 1,10,000 security deposit even though I vacated the flat last month in proper condition. This has been really stressful for me and my family.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Review the rental agreement for the deposit clause, send a written request asking for an itemised explanation of any deductions, and if unresolved, pursue the matter before the Rent Authority or Consumer/Civil Court as applicable under the relevant state tenancy law.","The obligation to return a security deposit, and the conditions under which deductions are permitted, depend primarily on the terms of the rental agreement and the tenancy law applicable in the specific state, since India does not have a single uniform central law governing all rental security deposits.",Property,"The rental agreement terms, the state in which the property is located (since tenancy law is largely state-specific, e.g. Model Tenancy Act adoption varies by state), the condition of the property at vacation, and the landlord's stated reasons for deduction are all needed.","The exact law depends on your state's tenancy regulations and the terms of your rental agreement, so this needs more information before a specific section can be cited. In the meantime, send the landlord a written request for an itemised list of deductions, and keep photos/videos from move-out as evidence. Please share your state and the agreement terms so the applicable law can be identified."
"I hired someone for broadband internet and paid Rs. 60,000 upfront, but they never showed up to finish the job. I already tried contacting them but got no response.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
I applied for information from a government department in Ahmedabad but have not received a response even after about six months ago. I've never dealt with anything like this before.,"Right to Information Act, 2005",Section 6; Section 19,"File a first appeal with the appellate authority of the department if the response is delayed beyond 30 days or is unsatisfactory, and if still unresolved, file a second appeal with the State or Central Information Commission.","Every citizen has the right to request information from public authorities, which are generally required to respond within 30 days, and a structured appeal mechanism exists for delayed or refused responses.",Constitutional,Proof of the original RTI application (with date and acknowledgment) is needed to calculate the response deadline and file a timely appeal.,"Under the Right to Information Act, 2005 (Section 6 for filing a request; Section 19 for appeals), public authorities must generally respond within 30 days. Since the deadline has passed, you can file a first appeal with the department's appellate authority, and a second appeal with the Information Commission if needed. Keep your original application and any acknowledgment safe."
"I was dishonestly induced to hand over Rs. 45,000 based on false promises that were never fulfilled. I'm worried this might happen again.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"Someone owes me Rs. 12,000 and is refusing to pay it back, what can I do? Please tell me what I can legally do.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I paid Rs. 12,000 as advance to buy a plot of land in Mumbai, but the seller is now refusing to register the sale deed.","Transfer of Property Act, 1882",Section 54,"Send a legal notice invoking the sale agreement and demanding execution and registration of the sale deed, or a refund with compensation, and consider filing a suit for specific performance or damages.","A transfer of immovable property for a price is a 'sale' under the Act, and where a seller has accepted consideration under an agreement to sell, they are generally bound to complete the transfer as agreed, subject to the terms of that agreement.",Property,"A valid sale agreement (preferably written and registered/stamped as required), proof of payment, and the specific default by the seller are needed to pursue a remedy.","This concerns the Transfer of Property Act, 1882 (Section 54), which governs transfer of immovable property for a price. You can send a legal notice demanding execution of the sale deed or refund with compensation, and may need to file a suit for specific performance. Keep the sale agreement and payment receipts safe."
"A vehicle hit me and sped away without stopping in Delhi, and I don't know who was driving. I've never dealt with anything like this before.","Motor Vehicles Act, 1988",Section 161,"File a police complaint immediately (needed to access the hit-and-run compensation scheme), obtain medical records, and apply for compensation from the Solatium Fund/relevant scheme through the police or insurer.","Where the vehicle or driver responsible for an accident cannot be traced, a victim or their legal heirs can still claim compensation from a dedicated compensation fund, subject to filing the required police report and documents.",Traffic,"A prompt FIR, medical treatment records, and any witness information about the vehicle are needed to process the claim.","This falls under Motor Vehicles Act, 1988 (Section 161), which provides for compensation even when the vehicle cannot be traced. File a police complaint immediately, get medical treatment documented, and apply for compensation from the applicable compensation fund with police assistance."
"Someone owes me Rs. 3,200 and is refusing to pay it back, what can I do? I've never dealt with anything like this before.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"I paid for travel package booking but the work done was far below what was promised, and the provider refuses to fix it or refund the money. I have all the receipts and messages saved.","Consumer Protection Act, 2019",Section 2(11) read with Section 35; Section 2(6) and Section 35,"Send a written notice to the service provider describing the deficiency and asking for rectification, refund, or compensation, and if unresolved, file a complaint before the Consumer Commission.","A shortfall in the quality or manner of performance of a paid service falls within the Act's concept of deficiency, and a consumer who suffers such deficiency can seek redressal through the consumer complaint mechanism.",Consumer,"You must have paid for the service (not received it free), the shortfall in performance must be demonstrable, and supporting documents such as invoices, messages, or photographs strengthen the complaint.","This falls under the Consumer Protection Act, 2019 (Section 2(11) read with Section 35), which covers deficiency in service. You can send a written notice demanding rectification or refund, and escalate to the Consumer Commission if the provider does not respond. Retain your payment proof and all communication as evidence."
A shop in Hyderabad charged me more than the printed MRP for a ceiling fan and refused to give a proper bill. I don't want to go to court if it can be avoided.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
An e-commerce seller cancelled my order for a microwave oven after taking payment and is not processing the refund even after recently. I'm worried this might happen again.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
"I was dishonestly induced to hand over Rs. 60,000 based on false promises that were never fulfilled.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"The home renovation I hired three months back caused more problems than it solved, and I have not received any compensation. This happened for the first time recently.","Consumer Protection Act, 2019",Section 2(11) read with Section 35; Section 2(6) and Section 35,"Send a written notice to the service provider describing the deficiency and asking for rectification, refund, or compensation, and if unresolved, file a complaint before the Consumer Commission.","A shortfall in the quality or manner of performance of a paid service falls within the Act's concept of deficiency, and a consumer who suffers such deficiency can seek redressal through the consumer complaint mechanism.",Consumer,"You must have paid for the service (not received it free), the shortfall in performance must be demonstrable, and supporting documents such as invoices, messages, or photographs strengthen the complaint.","This falls under the Consumer Protection Act, 2019 (Section 2(11) read with Section 35), which covers deficiency in service. You can send a written notice demanding rectification or refund, and escalate to the Consumer Commission if the provider does not respond. Retain your payment proof and all communication as evidence."
"A person promised to invest my Rs. 33,500 in a scheme and give high returns, but disappeared with the money. I have a few messages as proof but nothing else.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
A government office in Nagpur is treating my application differently from others without any valid reason. This happened for the first time recently.,Constitution of India,Article 14,"Request a written explanation from the authority for the differential treatment, and if unsatisfactory, consider filing a representation to a higher authority or a writ petition before the High Court.","The Constitution guarantees equality before the law and equal protection of the laws, meaning similarly situated persons must be treated alike by the State, absent a reasonable and lawful basis for differentiation.",Constitutional,You would need to show that you and the other person(s) are similarly situated and that there is no reasonable justification for the differential treatment.,"This raises an issue under Constitution of India (Article 14), the right to equality. You can request a written explanation from the authority, and if the differential treatment is unjustified, a writ petition can be filed before the High Court. Documentation showing the comparison with similarly placed persons will help."
